t             dt        Er         epsilon    n0         n1         n2         n3         n4         ElasLoss   R0         R1         R2         V1         V2         I1         Ic1         I2         Ic2         Q1         Q2         P0         
8.330084E-010 2.38E-011 7.76       6.64       3.07E+014  4.64E+013  5.23E+013  6.34E+010  15.7       106        4.72E+021  3.15E+009  4.11E+010  -300       0          0.000283   -0.000264  -0.000307  -0.000602  -4.91E-011 4.82E-011  0.09       
1.102289E-009 3.14E-011 7.76       6.95       3.37E+014  4.64E+013  5.36E+013  8.39E+010  27.8       115        5.45E+021  4.23E+009  5.79E+010  -300       0          0.00029    -0.000229  -0.000306  -0.000621  -4.92E-011 4.81E-011  0.09       
1.460296E-009 4.17E-011 7.76       7.18       3.71E+014  4.65E+013  5.57E+013  1.11E+011  50.2       126        6.19E+021  5.72E+009  8.36E+010  -300       0          0.000299   -0.000197  -0.00031   -0.000654  -4.94E-011 4.8E-011   0.0912     
1.937337E-009 5.59E-011 7.76       7.32       4.1E+014   4.71E+013  5.88E+013  1.48E+011  92.9       140        6.92E+021  7.87E+009  1.24E+011  -300       0          0.000309   -0.000168  -0.000317  -0.000705  -4.96E-011 4.78E-011  0.0932     
2.563838E-009 6.88E-011 7.76       7.4        4.54E+014  4.81E+013  6.34E+013  1.96E+011  176        159        7.61E+021  1.1E+010   1.89E+011  -300       0          0.00032    -0.000143  -0.000325  -0.000772  -4.99E-011 4.76E-011  0.0952     
3.296291E-009 7.88E-011 7.77       7.42       4.97E+014  4.95E+013  6.91E+013  2.53E+011  319        180        8.11E+021  1.54E+010  2.8E+011   -300       0          0.000327   -0.000123  -0.00033   -0.000843  -5.03E-011 4.72E-011  0.0961     
4.181971E-009 1.03E-010 7.76       7.42       5.38E+014  5.13E+013  7.64E+013  3.23E+011  572        201        8.41E+021  2.16E+010  4.07E+011  -300       0          0.000329   -0.000106  -0.000332  -0.000911  -5.07E-011 4.67E-011  0.0953     
5.36527E-009  1.41E-010 7.76       7.38       5.76E+014  5.35E+013  8.63E+013  4.16E+011  1.06E+003  225        8.45E+021  3.16E+010  5.93E+011  -300       0          0.000324   -9.02E-005 -0.000327  -0.000969  -5.12E-011 4.6E-011   0.092      
6.964269E-009 1.82E-010 7.74       7.29       6.06E+014  5.59E+013  9.94E+013  5.43E+011  2.03E+003  248        8.16E+021  4.84E+010  8.55E+011  -300       0          0.00031    -7.57E-005 -0.000313  -0.000997  -5.18E-011 4.49E-011  0.0855     
8.915899E-009 2.11E-010 7.72       7.15       6.2E+014   5.82E+013  1.15E+014  6.96E+011  3.69E+003  265        7.55E+021  7.36E+010  1.16E+012  -300       0          0.00029    -6.35E-005 -0.000293  -0.000979  -5.25E-011 4.36E-011  0.077      
1.125805E-008 2.68E-010 7.69       7          6.21E+014  5.99E+013  1.31E+014  8.73E+011  6.32E+003  277        6.79E+021  1.08E+011  1.46E+012  -300       0          0.000266   -5.32E-005 -0.00027   -0.000921  -5.33E-011 4.2E-011   0.0678     
1.438329E-008 3.64E-010 7.66       6.85       6.13E+014  6.14E+013  1.5E+014   1.09E+012  1.08E+004  285        5.9E+021   1.59E+011  1.75E+012  -300       0          0.00024    -4.36E-005 -0.000244  -0.000827  -5.42E-011 4.01E-011  0.0579     
1.852153E-008 4.84E-010 7.64       6.7        5.99E+014  6.27E+013  1.72E+014  1.36E+012  1.8E+004   289        4.99E+021  2.3E+011   1.98E+012  -300       0          0.000212   -3.49E-005 -0.000217  -0.000707  -5.53E-011 3.79E-011  0.0484     
2.450954E-008 7.74E-010 7.63       6.53       5.85E+014  6.43E+013  1.99E+014  1.7E+012   3E+004     292        4.07E+021  3.29E+011  2.1E+012   -300       0          0.000184   -2.64E-005 -0.000188  -0.000567  -5.67E-011 3.53E-011  0.0394     
3.365506E-008 9.41E-010 7.73       6.33       5.77E+014  6.74E+013  2.3E+014   2.16E+012  4.98E+004  300        3.13E+021  4.73E+011  2.03E+012  -300       0          0.000154   -1.79E-005 -0.000158  -0.000415  -5.84E-011 3.25E-011  0.0316     
4.373017E-008 1.17E-009 7.91       6.18       5.8E+014   7.13E+013  2.57E+014  2.64E+012  7.13E+004  310        2.46E+021  6.24E+011  1.87E+012  -300       0          0.000132   -1.17E-005 -0.000135  -0.000307  -6E-011    3.04E-011  0.0271     
5.82685E-008  1.81E-009 8.13       6.03       5.99E+014  7.73E+013  2.87E+014  3.35E+012  9.97E+004  328        1.89E+021  8.5E+011   1.71E+012  -300       0          0.000113   -5.47E-006 -0.000115  -0.000219  -6.18E-011 2.85E-011  0.0241     
7.822307E-008 2.48E-009 8.34       5.92       6.26E+014  8.5E+013   3.18E+014  4.44E+012  1.36E+005  351        1.41E+021  1.26E+012  1.67E+012  -300       0          9.92E-005  6.89E-007  -0.000101  -0.000157  -6.4E-011  2.7E-011   0.0227     
1.137855E-007 5.23E-009 8.59       5.85       6.65E+014  9.52E+013  3.56E+014  6.8E+012   2.03E+005  379        1.02E+021  2.33E+012  2E+012     -300       0          9.18E-005  8.99E-006  -9.27E-005 -0.000117  -6.71E-011 2.58E-011  0.0227     
1.705064E-007 5.71E-009 8.86       5.94       6.88E+014  1.04E+014  3.97E+014  1.2E+013   3.7E+005   399        7.59E+020  5.97E+012  3.28E+012  -300       0          9.38E-005  2.15E-005  -9.47E-005 -0.000102  -7.14E-011 2.5E-011   0.0251     
2.286168E-007 5.43E-009 9.07       6.08       7.22E+014  1.1E+014   4.3E+014   1.97E+013  7.02E+005  416        8E+020     1.4E+013   5.99E+012  -300       0          0.000106   3.6E-005   -0.000107  -0.000112  -7.55E-011 2.48E-011  0.029      
2.752067E-007 4.11E-009 9.25       6.2        7.98E+014  1.17E+014  4.6E+014   2.81E+013  1.18E+006  457        1.01E+021  2.61E+013  1.02E+013  -300       0          0.000122   4.95E-005  -0.000123  -0.000131  -7.88E-011 2.45E-011  0.0333     
3.172355E-007 4.63E-009 9.43       6.31       9.16E+014  1.29E+014  4.95E+014  3.76E+013  1.84E+006  520        1.29E+021  4.21E+013  1.57E+013  -300       0          0.000141   6.32E-005  -0.000142  -0.000153  -8.2E-011  2.41E-011  0.0379     
3.678423E-007 5.45E-009 9.67       6.42       1.14E+015  1.55E+014  5.51E+014  5.17E+013  3.04E+006  638        1.71E+021  7.01E+013  2.56E+013  -300       0          0.000169   8.16E-005  -0.00017   -0.000183  -8.62E-011 2.34E-011  0.0447     
4.120032E-007 4.12E-009 9.92       6.51       1.4E+015   1.89E+014  6.14E+014  6.67E+013  4.6E+006   794        2.13E+021  1.07E+014  3.88E+013  -300       0          0.000199   9.97E-005  -0.0002    -0.000212  -9.03E-011 2.29E-011  0.0519     
4.550909E-007 4.7E-009  10.2       6.61       1.74E+015  2.33E+014  6.9E+014   8.39E+013  6.72E+006  984        2.56E+021  1.53E+014  5.64E+013  -300       0          0.000229   0.000119   -0.000231  -0.000243  -9.49E-011 2.24E-011  0.0599     
4.962668E-007 4.17E-009 10.5       6.71       2.13E+015  2.85E+014  7.76E+014  1.03E+014  9.55E+006  1.21E+003  2.97E+021  2.14E+014  8.14E+013  -300       0          0.000264   0.000141   -0.000265  -0.000275  -9.97E-011 2.19E-011  0.0685     
5.413822E-007 5.06E-009 10.9       6.84       2.65E+015  3.54E+014  8.85E+014  1.27E+014  1.39E+007  1.5E+003   3.49E+021  2.99E+014  1.22E+014  -300       0          0.000304   0.000168   -0.000306  -0.000314  -1.06E-010 2.16E-011  0.0793     
5.880388E-007 4.96E-009 11.3       6.99       3.27E+015  4.4E+014   1.02E+015  1.57E+014  2.06E+007  1.86E+003  4.01E+021  4.2E+014   1.92E+014  -300       0          0.000351   0.000199   -0.000353  -0.000359  -1.12E-010 2.12E-011  0.0918     
6.373448E-007 3.99E-009 11.8       7.18       4.04E+015  5.47E+014  1.17E+015  1.94E+014  3.16E+007  2.32E+003  4.66E+021  5.96E+014  3.19E+014  -300       0          0.00041    0.000238   -0.000412  -0.000415  -1.2E-010  2.1E-011   0.107      
6.725728E-007 3.14E-009 12.2       7.33       4.56E+015  6.27E+014  1.29E+015  2.24E+014  4.33E+007  2.63E+003  4.81E+021  7.61E+014  4.53E+014  -300       0          0.000449   0.000271   -0.000451  -0.000454  -1.27E-010 2.09E-011  0.118      
7.05264E-007  3.54E-009 12.6       7.46       5.09E+015  7.02E+014  1.41E+015  2.56E+014  5.77E+007  2.94E+003  5.19E+021  9.42E+014  6.21E+014  -300       0          0.000488   0.000303   -0.000491  -0.000493  -1.32E-010 2.08E-011  0.13       
7.427333E-007 3.99E-009 13         7.62       5.81E+015  7.99E+014  1.55E+015  2.96E+014  8.04E+007  3.35E+003  5.84E+021  1.19E+015  9E+014     -300       0          0.000541   0.000345   -0.000544  -0.000546  -1.4E-010  2.07E-011  0.145      
7.835615E-007 4.09E-009 13.5       7.81       6.72E+015  9.22E+014  1.73E+015  3.46E+014  1.16E+008  3.87E+003  6.6E+021   1.53E+015  1.35E+015  -300       0          0.000603   0.000395   -0.000606  -0.000608  -1.48E-010 2.07E-011  0.162      
8.246285E-007 4.12E-009 14         7.99       7.74E+015  1.06E+015  1.92E+015  4.03E+014  1.67E+008  4.47E+003  7.35E+021  1.95E+015  2E+015     -300       0          0.00067    0.00045    -0.000673  -0.000674  -1.57E-010 2.06E-011  0.181      
8.667429E-007 4.44E-009 14.6       8.18       8.92E+015  1.22E+015  2.15E+015  4.69E+014  2.43E+008  5.15E+003  8.19E+021  2.47E+015  2.95E+015  -300       0          0.000742   0.000512   -0.000746  -0.000746  -1.66E-010 2.06E-011  0.202      
9.134491E-007 4.95E-009 15.2       8.39       1.04E+016  1.43E+015  2.42E+015  5.52E+014  3.65E+008  6.01E+003  9.3E+021   3.19E+015  4.47E+015  -300       0          0.00083    0.000588   -0.000835  -0.000834  -1.77E-010 2.06E-011  0.228      
9.653755E-007 5.5E-009  15.9       8.62       1.24E+016  1.7E+015   2.77E+015  6.58E+014  5.7E+008   7.14E+003  1.07E+022  4.19E+015  6.99E+015  -300       0          0.000938   0.000681   -0.000943  -0.000942  -1.9E-010  2.06E-011  0.259      
1.022049E-006 5.74E-009 16.7       8.87       1.49E+016  2.04E+015  3.21E+015  7.91E+014  9.15E+008  8.58E+003  1.23E+022  5.59E+015  1.12E+016  -300       0          0.00107    0.000796   -0.00107   -0.00107   -2.05E-010 2.07E-011  0.297      
1.080602E-006 5.99E-009 17.5       9.13       1.78E+016  2.44E+015  3.71E+015  9.5E+014   1.47E+009  1.03E+004  1.39E+022  7.46E+015  1.76E+016  -300       0          0.00122    0.000928   -0.00122   -0.00122   -2.22E-010 2.08E-011  0.34       
1.14174E-006  6.4E-009  18.4       9.38       2.12E+016  2.92E+015  4.31E+015  1.14E+015  2.34E+009  1.22E+004  1.58E+022  9.97E+015  2.74E+016  -300       0          0.00138    0.00108    -0.00139   -0.00139   -2.4E-010  2.09E-011  0.389      
1.209148E-006 7.12E-009 19.4       9.65       2.55E+016  3.53E+015  5.05E+015  1.39E+015  3.82E+009  1.48E+004  1.83E+022  1.35E+016  4.34E+016  -300       0          0.00159    0.00127    -0.00159   -0.00159   -2.6E-010  2.1E-011   0.449      
1.283894E-006 7.93E-009 20.4       9.94       3.13E+016  4.33E+015  6E+015     1.71E+015  6.39E+009  1.8E+004   2.14E+022  1.88E+016  7.04E+016  -300       0          0.00184    0.00151    -0.00184   -0.00184   -2.84E-010 2.12E-011  0.523      
1.365148E-006 8.32E-009 21.6       10.2       3.85E+016  5.35E+015  7.2E+015   2.11E+015  1.08E+010  2.22E+004  2.5E+022   2.66E+016  1.15E+017  -300       0          0.00214    0.0018     -0.00215   -0.00215   -3.12E-010 2.13E-011  0.614      
1.450263E-006 8.8E-009  22.9       10.6       4.7E+016   6.58E+015  8.62E+015  2.61E+015  1.83E+010  2.72E+004  2.88E+022  3.76E+016  1.87E+017  -300       0          0.00249    0.00213    -0.0025    -0.0025    -3.42E-010 2.13E-011  0.718      
1.542277E-006 9.83E-009 24.2       10.9       5.75E+016  8.11E+015  1.04E+016  3.24E+015  3.09E+010  3.33E+004  3.33E+022  5.36E+016  3.01E+017  -300       0          0.00291    0.00254    -0.00292   -0.00292   -3.76E-010 2.11E-011  0.842      
1.642062E-006 1E-008    25.7       11.2       7.07E+016  1E+016     1.25E+016  4.04E+015  5.24E+010  4.1E+004   3.89E+022  7.75E+016  4.9E+017   -300       0          0.00341    0.00302    -0.00343   -0.00343   -4.14E-010 2.08E-011  0.991      
1.742062E-006 1E-008    27.1       11.6       8.54E+016  1.22E+016  1.5E+016   4.98E+015  8.6E+010   4.97E+004  4.4E+022   1.1E+017   7.68E+017  -300       0          0.00396    0.00355    -0.00397   -0.00398   -4.54E-010 2.02E-011  1.15       
1.842062E-006 1E-008    28.6       11.9       1.01E+017  1.46E+016  1.77E+016  6.05E+015  1.36E+011  5.9E+004   4.9E+022   1.53E+017  1.16E+018  -300       0          0.00452    0.00412    -0.00453   -0.00454   -4.94E-010 1.96E-011  1.32       
1.942062E-006 1E-008    30         12.2       1.18E+017  1.72E+016  2.05E+016  7.26E+015  2.09E+011  6.91E+004  5.42E+022  2.09E+017  1.69E+018  -300       0          0.0051     0.0047     -0.00512   -0.00512   -5.34E-010 1.88E-011  1.5        
2.042062E-006 1E-008    31.5       12.5       1.37E+017  2.01E+016  2.36E+016  8.61E+015  3.1E+011   7.99E+004  5.95E+022  2.78E+017  2.39E+018  -300       0          0.00571    0.0053     -0.00572   -0.00573   -5.75E-010 1.81E-011  1.68       
2.142062E-006 1E-008    32.9       12.8       1.56E+017  2.31E+016  2.69E+016  1.01E+016  4.47E+011  9.15E+004  6.49E+022  3.65E+017  3.29E+018  -300       0          0.00633    0.00592    -0.00635   -0.00635   -6.16E-010 1.75E-011  1.86       
2.242062E-006 1E-008    34.4       13.2       1.77E+017  2.64E+016  3.05E+016  1.17E+016  6.3E+011   1.04E+005  7.04E+022  4.71E+017  4.42E+018  -300       0          0.00698    0.00656    -0.00699   -0.007     -6.57E-010 1.69E-011  2.06       
2.342062E-006 1E-008    35.8       13.5       1.99E+017  2.98E+016  3.42E+016  1.34E+016  8.68E+011  1.17E+005  7.6E+022   5.99E+017  5.81E+018  -300       0          0.00765    0.00723    -0.00766   -0.00767   -6.99E-010 1.64E-011  2.26       
2.442062E-006 1E-008    37.3       13.8       2.22E+017  3.35E+016  3.82E+016  1.53E+016  1.17E+012  1.31E+005  8.17E+022  7.5E+017   7.49E+018  -300       0          0.00834    0.00792    -0.00836   -0.00836   -7.41E-010 1.6E-011   2.47       
2.542062E-006 1E-008    38.7       14.1       2.47E+017  3.74E+016  4.23E+016  1.73E+016  1.55E+012  1.45E+005  8.75E+022  9.29E+017  9.48E+018  -300       0          0.00906    0.00863    -0.00907   -0.00908   -7.84E-010 1.56E-011  2.68       
2.642062E-006 1E-008    40.1       14.3       2.72E+017  4.15E+016  4.67E+016  1.95E+016  2.02E+012  1.6E+005   9.34E+022  1.14E+018  1.18E+019  -300       0          0.00979    0.00936    -0.00981   -0.00981   -8.26E-010 1.53E-011  2.9        
2.742062E-006 1E-008    41.5       14.6       2.99E+017  4.58E+016  5.13E+016  2.18E+016  2.59E+012  1.76E+005  9.93E+022  1.37E+018  1.45E+019  -300       0          0.0105     0.0101     -0.0106    -0.0106    -8.7E-010  1.5E-011   3.13       
2.842062E-006 1E-008    43         14.9       3.27E+017  5.03E+016  5.61E+016  2.42E+016  3.27E+012  1.92E+005  1.05E+023  1.64E+018  1.76E+019  -300       0          0.0113     0.0109     -0.0113    -0.0113    -9.13E-010 1.48E-011  3.36       
2.942062E-006 1E-008    44.4       15.2       3.56E+017  5.5E+016   6.11E+016  2.67E+016  4.07E+012  2.1E+005   1.12E+023  1.95E+018  2.11E+019  -300       0          0.0121     0.0117     -0.0121    -0.0121    -9.57E-010 1.46E-011  3.59       
3.042062E-006 1E-008    45.8       15.5       3.86E+017  5.99E+016  6.62E+016  2.94E+016  5.01E+012  2.27E+005  1.18E+023  2.29E+018  2.5E+019   -300       0          0.0129     0.0125     -0.0129    -0.0129    -1E-009    1.44E-011  3.84       
3.142062E-006 1E-008    47.2       15.8       4.17E+017  6.5E+016   7.16E+016  3.22E+016  6.1E+012   2.46E+005  1.24E+023  2.67E+018  2.94E+019  -300       0          0.0138     0.0133     -0.0138    -0.0138    -1.05E-009 1.42E-011  4.09       
3.242062E-006 1E-008    48.6       16.1       4.49E+017  7.03E+016  7.72E+016  3.51E+016  7.35E+012  2.65E+005  1.3E+023   3.09E+018  3.42E+019  -300       0          0.0146     0.0142     -0.0146    -0.0146    -1.09E-009 1.41E-011  4.34       
3.342062E-006 1E-008    50         16.4       4.83E+017  7.58E+016  8.3E+016   3.82E+016  8.78E+012  2.85E+005  1.37E+023  3.55E+018  3.95E+019  -300       0          0.0155     0.015      -0.0155    -0.0155    -1.14E-009 1.39E-011  4.6        
3.442062E-006 1E-008    51.4       16.7       5.17E+017  8.15E+016  8.9E+016   4.13E+016  1.04E+013  3.05E+005  1.44E+023  4.05E+018  4.54E+019  -300       0          0.0164     0.0159     -0.0164    -0.0164    -1.18E-009 1.38E-011  4.87       
3.542062E-006 1E-008    52.8       17         5.53E+017  8.74E+016  9.52E+016  4.46E+016  1.22E+013  3.27E+005  1.5E+023   4.6E+018   5.17E+019  -300       0          0.0173     0.0168     -0.0173    -0.0173    -1.23E-009 1.36E-011  5.14       
3.642062E-006 1E-008    54.1       17.3       5.9E+017   9.35E+016  1.02E+017  4.81E+016  1.42E+013  3.48E+005  1.57E+023  5.2E+018   5.85E+019  -300       0          0.0182     0.0177     -0.0182    -0.0182    -1.27E-009 1.35E-011  5.42       
3.742062E-006 1E-008    55.5       17.6       6.28E+017  9.98E+016  1.08E+017  5.16E+016  1.65E+013  3.71E+005  1.64E+023  5.84E+018  6.59E+019  -300       0          0.0191     0.0187     -0.0192    -0.0192    -1.32E-009 1.34E-011  5.7        
3.842062E-006 1E-008    56.9       17.8       6.67E+017  1.06E+017  1.15E+017  5.53E+016  1.89E+013  3.94E+005  1.71E+023  6.54E+018  7.39E+019  -300       0          0.0201     0.0196     -0.0201    -0.0201    -1.36E-009 1.33E-011  5.99       
3.942062E-006 1E-008    58.3       17.9       7.07E+017  1.13E+017  1.22E+017  5.91E+016  2.16E+013  4.18E+005  1.78E+023  7.28E+018  8.24E+019  -300       0          0.0211     0.0206     -0.0211    -0.0211    -1.41E-009 1.32E-011  6.29       
4.042062E-006 1E-008    59.6       18.1       7.48E+017  1.2E+017   1.29E+017  6.3E+016   2.46E+013  4.42E+005  1.85E+023  8.07E+018  9.16E+019  -300       0          0.0221     0.0216     -0.0221    -0.0221    -1.46E-009 1.31E-011  6.59       
4.142062E-006 1E-008    61         18.3       7.9E+017   1.27E+017  1.37E+017  6.71E+016  2.78E+013  4.67E+005  1.93E+023  8.92E+018  1.01E+020  -300       0          0.0231     0.0226     -0.0231    -0.0231    -1.5E-009  1.3E-011   6.89       
4.242062E-006 1E-008    62.3       18.5       8.34E+017  1.34E+017  1.44E+017  7.13E+016  3.13E+013  4.93E+005  2E+023     9.82E+018  1.12E+020  -300       0          0.0242     0.0237     -0.0242    -0.0242    -1.55E-009 1.29E-011  7.2        
4.342062E-006 1E-008    63.7       18.6       8.78E+017  1.42E+017  1.52E+017  7.56E+016  3.51E+013  5.19E+005  2.08E+023  1.08E+019  1.23E+020  -300       0          0.0252     0.0247     -0.0252    -0.0252    -1.6E-009  1.29E-011  7.52       
4.442062E-006 1E-008    65         18.8       9.24E+017  1.5E+017   1.6E+017   8E+016     3.91E+013  5.47E+005  2.15E+023  1.18E+019  1.34E+020  -300       0          0.0263     0.0258     -0.0263    -0.0263    -1.65E-009 1.28E-011  7.84       
4.542062E-006 1E-008    66.3       18.9       9.71E+017  1.57E+017  1.68E+017  8.45E+016  4.35E+013  5.74E+005  2.23E+023  1.29E+019  1.46E+020  -300       0          0.0274     0.0269     -0.0274    -0.0274    -1.69E-009 1.27E-011  8.17       
4.642062E-006 1E-008    67.6       19.1       1.02E+018  1.66E+017  1.77E+017  8.92E+016  4.81E+013  6.03E+005  2.31E+023  1.4E+019   1.59E+020  -300       0          0.0285     0.028      -0.0285    -0.0285    -1.74E-009 1.26E-011  8.51       
4.742062E-006 1E-008    68.9       19.2       1.07E+018  1.74E+017  1.85E+017  9.39E+016  5.31E+013  6.32E+005  2.39E+023  1.52E+019  1.73E+020  -300       0          0.0296     0.0292     -0.0297    -0.0297    -1.79E-009 1.25E-011  8.85       
4.842062E-006 1E-008    70.2       19.3       1.12E+018  1.82E+017  1.94E+017  9.88E+016  5.83E+013  6.62E+005  2.47E+023  1.64E+019  1.87E+020  -300       0          0.0308     0.0303     -0.0308    -0.0308    -1.84E-009 1.25E-011  9.19       
4.942062E-006 1E-008    71.4       19.4       1.17E+018  1.91E+017  2.03E+017  1.04E+017  6.39E+013  6.92E+005  2.55E+023  1.78E+019  2.02E+020  -300       0          0.032      0.0315     -0.032     -0.032     -1.89E-009 1.24E-011  9.54       
5.042062E-006 1E-008    72.6       19.4       1.22E+018  2E+017     2.13E+017  1.09E+017  6.98E+013  7.23E+005  2.64E+023  1.91E+019  2.18E+020  -300       0          0.0332     0.0327     -0.0332    -0.0332    -1.93E-009 1.23E-011  9.9        
5.142062E-006 1E-008    73.7       19.4       1.28E+018  2.09E+017  2.22E+017  1.14E+017  7.61E+013  7.55E+005  2.72E+023  2.06E+019  2.34E+020  -300       0          0.0344     0.0339     -0.0344    -0.0344    -1.98E-009 1.22E-011  10.3       
